path,label,source,license_status,notes,split
raw/positive_synthetic/tsuchinoko_candidate_canal_edge_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive canal edge candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_dark_forest_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive dark forest candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_ir_night_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive infrared night candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_grass_occluded_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive grass-occluded candidate generated by built-in imagegen,train
raw/negative/negative_hose_dim_grass_01.png,not_tsuchinoko,imagegen,approved,synthetic negative dim grass hose generated by built-in imagegen,train
raw/negative/negative_hose_ir_night_01.png,not_tsuchinoko,imagegen,approved,synthetic negative infrared night hose generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_dark_forest_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive dark forest trail candidate generated by built-in imagegen,train
raw/negative/negative_root_dark_path_01.png,not_tsuchinoko,imagegen,approved,synthetic negative dark path root generated by built-in imagegen,train
raw/negative/negative_branch_ir_night_01.png,not_tsuchinoko,imagegen,approved,synthetic negative infrared night branch generated by built-in imagegen,train
raw/negative/negative_root_wet_leaves_01.png,not_tsuchinoko,imagegen,approved,synthetic negative wet leaves root generated by built-in imagegen,train
raw/negative/negative_branch_grass_tangle_01.png,not_tsuchinoko,imagegen,approved,synthetic negative grass branch tangle generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_grass_occluded_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive grass-occluded candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_ir_grass_occluded_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive infrared grass-occluded candidate generated by built-in imagegen,train
raw/negative/negative_roots_ir_trail_02.png,not_tsuchinoko,imagegen,approved,synthetic negative infrared roots trail generated by built-in imagegen,train
raw/negative/negative_vine_leaf_path_01.png,not_tsuchinoko,imagegen,approved,synthetic negative vine leaf path generated by built-in imagegen,val
raw/negative/negative_branch_lowlight_grass_02.png,not_tsuchinoko,imagegen,approved,synthetic negative low-light grass branch generated by built-in imagegen,val
raw/negative/negative_roots_daylight_path_01.png,not_tsuchinoko,imagegen,approved,synthetic negative daylight roots path generated by built-in imagegen,train
raw/negative/negative_hose_muddy_leaves_01.png,not_tsuchinoko,imagegen,approved,synthetic negative muddy leaves hose generated by built-in imagegen,train
raw/negative/negative_ordinary_snake_wet_path_01.png,not_tsuchinoko,imagegen,approved,synthetic negative ordinary snake generated by built-in imagegen,val
raw/positive_synthetic/tsuchinoko_candidate_wet_leaves_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive wet leaves candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_ir_grass_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive infrared grass candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_wet_grass_leaves_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive wet grass leaves candidate generated by built-in imagegen,train
raw/negative/negative_branch_lowlight_grass_03.png,not_tsuchinoko,imagegen,approved,synthetic negative low-light grass branch generated by built-in imagegen,train
raw/negative/negative_root_ir_grass_01.png,not_tsuchinoko,imagegen,approved,synthetic negative infrared grass root generated by built-in imagegen,train
raw/negative/negative_branch_lowlight_grass_04.png,not_tsuchinoko,imagegen,approved,synthetic negative low-light grass branch generated by built-in imagegen,train
raw/negative/negative_knotted_root_gravel_01.png,not_tsuchinoko,imagegen,approved,synthetic negative knotted root gravel generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_gravel_road_02.png,tsuchinoko_candidate,imagegen,approved,synthetic positive gravel road candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_gravel_road_03.png,tsuchinoko_candidate,imagegen,approved,synthetic positive gravel road candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_candidate_ir_gravel_01.png,tsuchinoko_candidate,imagegen,approved,synthetic positive gravel edge candidate generated by built-in imagegen,train
raw/positive_synthetic/tsuchinoko_shape_focus_01.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_02.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_03.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_04.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_05.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_06.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_07.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_08.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_09.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_10.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_11.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_12.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_13.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_14.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_15.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_16.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_17.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_18.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_19.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_20.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_21.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_22.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_23.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_24.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/negative/negative_shape_focus_01.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_02.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_03.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_04.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_05.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_06.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_07.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_08.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_09.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_10.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_11.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_12.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_13.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_14.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_15.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_16.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_17.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_18.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_19.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_20.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_21.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_22.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_23.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_24.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_25.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_26.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_27.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_28.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_29.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_30.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_31.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_32.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_33.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_34.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_35.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/negative/negative_shape_focus_36.png,not_tsuchinoko,procedural_shape_focus,approved,procedural hard negative with long thin snake hose or branch silhouette,train
raw/positive_synthetic/tsuchinoko_shape_focus_25.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_26.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_27.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_28.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_29.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_30.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_31.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_32.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_33.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_34.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_35.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_36.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_37.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_38.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_39.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_40.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
raw/positive_synthetic/tsuchinoko_shape_focus_41.png,tsuchinoko_candidate,procedural_shape_focus,approved,procedural thick short body candidate focusing on silhouette and head-body ratio,train
